	class	class id	text_clean_lemma_as_str
0	Консультация КЦ	0	  негатив горячий линия которые нафиг нужный вообще ничто решать
1	Компетентность продавцов/ консультантов	1	перестать впаривать клиент дополнительный товар услуга надоесть стараться любезно приставание отбиваться
2	Компетентность продавцов/ консультантов	1	  продавец предложить наклеить защитный плёнка 1300 рубль учёт скидка сложный сказать покупатель сразу честной цена товар услуга это очень приятный
3	Компетентность продавцов/ консультантов	1	продавец режил продать нам товар почему завысить цена
4	Компетентность продавцов/ консультантов	1	навязать услуга согласие сумма 1949 рубле
5	Консультация КЦ	0	оператор проигнорировать информация ошибка приложение исправить контактный информация заказ
6	Компетентность продавцов/ консультантов	1	сотрудник мало задать вопрос повод страховка которой отказаться изначально ещё приложение ещё списать бонус которые списаться мобильный приложение подтверждение смс
7	Электронная очередь	2	электронный талон приложение работать прийтись стоять тупить терминал брать
8	Электронная очередь	2	приложение работать получить талон
9	Компетентность продавцов/ консультантов	1	хотеть оформить заказ приложение сотрудник сказать долгий время оформить свой гаджет итог прийти сообщение оплата заказ показываться найти удалить приложение установить заново самое весь танец бубен оформить приложение собираться успешно 5 минута получить выдача
10	Компетентность продавцов/ консультантов	1	продавец отдать товар предложить выбрать аксессуар консультация
11	Доступность персонала в магазине	3	консультант зал искать собака
12	Вежливость сотрудников магазина	4	  приехать продавец здороваться назвать цена высоко интернет нагрубить видеть покупать
13	Доступность персонала в магазине	3	маленький количество персонал
14	Компетентность продавцов/ консультантов	1	понравиться навязывание нужный услуга страховка которые повышать цена товар
15	Компетентность продавцов/ консультантов	1	добавить заказ бесплатный подписка которая нужный дом обнаружить подписка включить чек товар сделать скидка течение гарантийный срок товар сломаться вернуть сумма которую заплатить сумма вычет стоимость бесплатный подписка которая идти якобы подарок отвратительно
16	Консультация КЦ	0	  некорректный информация оператор оставить негативный использование данного сервис
17	Компетентность продавцов/ консультантов	1	кассир сказать подарок идти яндекс подписка чек оказаться скидка товар подписка просто пробить 2 500 скидка составить итог 300 рубль требовать вернуть средство подписка нам нужный
18	Консультация КЦ	0	обращение оператор внятный ответ получить повторение одной фраза дмитрий заказ применение бонус хотя весь история личный кабинет скриншот направить оператор
19	Компетентность продавцов/ консультантов	1	тебе проверять стоимость товар находить дешёвый пытаться это пробить подарок вид наклейка плёнка яндекс подписка сумма скидка отказываться нужный подписка плёнка наклеить просто пробивать полный стоимость пользоваться клиент найдите дешёвый вернуть разница делать скидка брать навязать услуга деньга подарок бесплатный это называться обман
20	Консультация КЦ	0	потратить примерно 40 мина бесполезный общение чат данному заказ консультант отвечать медленно дезинформировала относительно применение скидка наличие товар магазин получить заказ
21	Компетентность продавцов/ консультантов	1	обмануть касса вид подарок вбить чек нужный услуга подарок
22	Компетентность продавцов/ консультантов	1	продавец подсунуть чек электронный подписка 2000 рубль
23	Компетентность продавцов/ консультантов	1	продавец вместо скидка пробить чек оплатить ведомо подключение сервис которые нужный сказать это бесплатный подарок просить разобраться навязывание услуга образ
24	Компетентность продавцов/ консультантов	1	оплата выясниться купить помимо машинка код онлайн кинотеатр 150 рубль
25	Обслуживание на кассе	5	кассир здороваться агрессивный форма попросить надеть маска
26	Консультация КЦ	0	консультант оператор колцентра знать окончание акция рекомендовать преобрести товар получить 10 кэшбек оплата говорить сожаление ничто начислить
27	Компетентность продавцов/ консультантов	1	коротко просто развести деньга ввести заблуждение впарили платно подписка кинопоиск защита экран это обман
28	Компетентность продавцов/ консультантов	1	  некорректный поведение руководитель магазин вадим
29	Компетентность продавцов/ консультантов	1	продавец разговорчивый нужный узнавать всё самой
30	Вежливость сотрудников магазина	4	достаточно год называть проблема
